State, Total 
    United States2, 84.60 
Alabama, 89.30 
Alaska, 78.20 
Arizona, 78.00 
Arkansas, 88.00 
California, 82.70 
Colorado, 79.10 
Connecticut, 87.90 
Delaware, 86.90 
District of Columbia, 73.20 
Florida, 82.30 
Georgia, 80.60 
Hawaii, 82.70 
Idaho, 79.70 
Illinois, 87.00 
Indiana, 83.80 
Iowa, 91.00 
Kansas, 86.50 
Kentucky, 89.70 
Louisiana, 78.10 
Maine, 86.90 
Maryland, 87.70 
Massachusetts, 88.30 
Michigan, 80.20 
Minnesota, 82.70 
Mississippi, 83.00 
Missouri, 88.30 
Montana, 85.80 
Nebraska, 89.10 
Nevada, 80.90 
New Hampshire, 88.90 
New Jersey, 90.50 
New Mexico, 71.10 
New York, 81.80 
North Carolina, 86.60 
North Dakota, 87.20 
Ohio, 84.20 
Oklahoma, 82.60 
Oregon, 76.70 
Pennsylvania, 86.60 
Rhode Island, 84.10 
South Carolina, 83.60 
South Dakota, 83.70 
Tennessee, 89.80 
Texas, 89.70 
Utah, 86.00 
Vermont, 89.10 
Virginia3, 86.90 
Washington, 79.40 
West Virginia, 89.40 
Wisconsin, 88.60 
Wyoming, 86.20 
